sample_id,study_name,study_subset,environment,sample,groupby,group,T,pH,O2_umol_L,Eh,Eh7,Bacteria_Zc,Archaea_Zc
SRR5251649,MLL+18,NA,River & Seawater,YAM3-02,Season,Winter,17.7,7.92,209.38,28.42,81.51,-0.148378,NA
SRR8146444,HXZ+20,NA,River & Seawater,BHO0m,Station,SYBL,NA,NA,237.4,18,18,-0.152759,NA
SRR8146453,HXZ+20,NA,River & Seawater,BHO10m,Station,SYBL,NA,NA,189.6,46,46,-0.152729,NA
SRR8146452,HXZ+20,NA,River & Seawater,BHO30m,Station,SYBL,NA,NA,125.7,34,34,-0.158419,NA
SRR8146418,HXZ+20,NA,River & Seawater,BHO50m,Station,SYBL,NA,NA,154.5,24,24,-0.160766,NA
SRR8146419,HXZ+20,NA,River & Seawater,BHO70m,Station,SYBL,NA,NA,114.8,37,37,-0.16061,NA
SRR8146420,HXZ+20,NA,River & Seawater,BHO80m,Station,SYBL,NA,NA,43.2,47,47,-0.150102,NA
SRR8146421,HXZ+20,NA,River & Seawater,BHO90m,Station,SYBL,NA,NA,0.3,-170,-170,-0.150869,NA
SRR8146422,HXZ+20,NA,River & Seawater,BHO100m,Station,SYBL,NA,NA,0,-244,-244,-0.171615,NA
SRR8146423,HXZ+20,NA,River & Seawater,BHO125m,Station,SYBL,NA,NA,0,-279,-279,-0.159733,NA
SRR8146425,HXZ+20,NA,River & Seawater,BHO150m,Station,SYBL,NA,NA,0,-308,-308,-0.166523,NA
SRR8146426,HXZ+20,NA,River & Seawater,BHO200m,Station,SYBL,NA,NA,0,-331,-331,-0.167343,NA
SRR8146427,HXZ+20,NA,River & Seawater,BHO300m,Station,SYBL,NA,NA,0,-296,-296,-0.165487,NA
SRR8146411,HXZ+20,NA,River & Seawater,C4-0m,Station,C4,NA,NA,192.6,25.9,25.9,-0.159043,NA
SRR8146408,HXZ+20,NA,River & Seawater,C4-10m,Station,C4,NA,NA,195,28,28,-0.175903,NA
SRR8146409,HXZ+20,NA,River & Seawater,C4-30m,Station,C4,NA,NA,211.4,24.9,24.9,-0.179401,NA
SRR8146451,HXZ+20,NA,River & Seawater,C4-50m,Station,C4,NA,NA,210.2,25.1,25.1,-0.176075,NA
SRR8146450,HXZ+20,NA,River & Seawater,C4-75m,Station,C4,NA,NA,187.9,29,29,-0.168847,NA
SRR8146449,HXZ+20,NA,River & Seawater,C4-100m,Station,C4,NA,NA,178.7,30,30,-0.145746,NA
SRR8146448,HXZ+20,NA,River & Seawater,C4-150m,Station,C4,NA,NA,154.7,34,34,-0.158974,NA
SRR8146447,HXZ+20,NA,River & Seawater,C4-200m,Station,C4,NA,NA,152.1,42,42,-0.144935,NA
SRR8146446,HXZ+20,NA,River & Seawater,C4-300m,Station,C4,NA,NA,133.9,46.1,46.1,-0.144603,NA
SRR9049911,GSBT20,Prefilter,River & Seawater,BUS1,Region,Asia,27.39,8.23,239.7,13.1,86.45,-0.158049,NA
SRR9049912,GSBT20,Prefilter,River & Seawater,BUS10,Region,Asia,27.44,8.28,255.95,10,86.34,-0.15952,NA
SRR9049910,GSBT20,Prefilter,River & Seawater,BUS11,Region,Asia,27.39,8.29,230.95,10.4,87.32,-0.158551,NA
SRR9049845,GSBT20,Prefilter,River & Seawater,HK1,Region,Asia,30.83,8.09,189.69,-8.1,57.64,-0.153715,NA
SRR9049844,GSBT20,Prefilter,River & Seawater,HK10,Region,Asia,28,7.96,218.45,2.7,60.06,-0.154025,NA
SRR9049850,GSBT20,Prefilter,River & Seawater,HK12,Region,Asia,27.5,7.91,197.51,7,61.28,-0.155761,NA
SRR9053302,GSBT20,Prefilter,River & Seawater,KEW1,Region,Great Lakes,4.78,9.18,396.26,59.7,179.91,-0.173117,NA
SRR9053820,GSBT20,Prefilter,River & Seawater,KEW12,Region,Great Lakes,11.72,7.83,346.89,67.1,114.01,-0.16224,NA
SRR9053818,GSBT20,Prefilter,River & Seawater,KEW13,Region,Great Lakes,11.06,7.5,345.95,62.1,90.3,-0.154388,NA
SRR9053559,GSBT20,Prefilter,River & Seawater,LA1,Region,West Coast U.S.,21.67,7.9,196.26,68,120.65,-0.161781,NA
SRR9053558,GSBT20,Prefilter,River & Seawater,LA10,Region,West Coast U.S.,20.11,7.96,233.76,67.4,123.26,-0.157448,NA
SRR9053552,GSBT20,Prefilter,River & Seawater,LA11,Region,West Coast U.S.,21.11,8.21,258.13,46.6,117.24,-0.174179,NA
SRR9053239,GSBT20,Prefilter,River & Seawater,OAK10,Region,West Coast U.S.,15.94,7.58,225.63,77.1,110.37,-0.158493,NA
SRR9053241,GSBT20,Prefilter,River & Seawater,OAK11,Region,West Coast U.S.,15.39,7,229.07,100.7,100.7,-0.156946,NA
SRR9053243,GSBT20,Prefilter,River & Seawater,OAK12,Region,West Coast U.S.,15.17,7.39,243.13,94.3,116.61,-0.158684,NA
SRR9053227,GSBT20,Prefilter,River & Seawater,SEA1,Region,West Coast U.S.,14.22,7.92,239.38,69.3,121.76,-0.158451,-0.125381
SRR9053154,GSBT20,Prefilter,River & Seawater,SEA11,Region,West Coast U.S.,12.83,7.86,240.63,71.3,120.1,-0.157644,-0.12371
SRR9053148,GSBT20,Prefilter,River & Seawater,SEA12,Region,West Coast U.S.,13.22,7.85,243.13,74,122.3,-0.158203,-0.123497
SRR9049879,GSBT20,Prefilter,River & Seawater,SING1,Region,Asia,29.33,6.3,181.88,77.4,35.39,-0.151466,NA
SRR9049880,GSBT20,Prefilter,River & Seawater,SING10,Region,Asia,29.28,7.81,177.82,21.7,70.3,-0.150127,NA
SRR9049873,GSBT20,Prefilter,River & Seawater,SING12,Region,Asia,29.33,7.89,178.76,22.5,75.91,-0.150444,-0.136897
SRR9053388,GSBT20,Prefilter,River & Seawater,BALT1,Region,East Coast U.S.,24.67,7.25,245.01,68.8,83.57,-0.150061,NA
SRR9053387,GSBT20,Prefilter,River & Seawater,BALT10,Region,East Coast U.S.,25.5,8.52,283.45,95,185.07,-0.151461,NA
SRR9053385,GSBT20,Prefilter,River & Seawater,BALT11,Region,East Coast U.S.,25.56,8.57,285.64,95.8,188.85,-0.151588,NA
SRR9053218,GSBT20,Prefilter,River & Seawater,CHA10,Region,East Coast U.S.,26.5,7.6,176.57,68.9,104.57,-0.147481,NA
SRR9053224,GSBT20,Prefilter,River & Seawater,CHA13,Region,East Coast U.S.,26.33,7.65,176.26,72.8,111.42,-0.17107,NA
SRR9053066,GSBT20,Prefilter,River & Seawater,CHA16,Region,East Coast U.S.,26.44,7.72,176.57,90.5,133.3,-0.174447,-0.119243
SRR9053460,GSBT20,Prefilter,River & Seawater,DS1FALLzymo1,Region,Great Lakes,9.67,7.69,346.89,262.1,300.82,-0.166859,NA
